Year,County/State,ACTUAL_COUNT,Latitude,Longitude
2018,"ST LOUIS, Missouri",11,38.6270025,-90.1994042
2018,"ST LUCIE, Florida",1,27.499208,-80.3421984
2018,"STARR, Texas",2,26.6215167,-98.7481167
2018,"STEARNS, Minnesota",2,45.5844792,-94.5865603
2018,"STONE, Missouri",1,36.7748882,-93.4599326
2018,"SUSSEX, Delaware",3,38.6530841,-75.4344727
2018,"SWEETWATER, Wyoming",4,41.8519395,-109.1880047
2018,"TARRANT, Texas",34,32.7732044,-97.3516558
2018,"TULSA, Oklahoma",1,36.1539816,-95.992775
2018,"VICTORIA, Texas",1,28.8052674,-97.0035982
2018,"VOLUSIA, Florida",1,29.0279842,-81.0754657
2018,"WASHINGTON, Vermont",1,44.105619,-72.432601
2018,"WAYNE, Michigan",5,42.2814269,-83.3863214
2018,"WEBB, Texas",6,27.7925109,-99.4228149
2018,"WILLACY, Texas",2,26.4948223,-97.6982272
2018,"WRIGHT, Minnesota",2,46.6715593,-93.0074403
2019,"ACCOMACK, Virginia",1,37.7063323,-75.8069082
2019,"ALBEMARLE, Virginia",1,38.0567092,-78.6114999
2019,"ALLEN, Kentucky",1,37.6100457,-82.7279705
2019,"ALLEN, Ohio",6,40.769946,-84.1435136
2019,"AMHERST, Virginia",1,37.5851412,-79.0514134
2019,"ANNE ARUNDEL, Maryland",8,38.9530109,-76.5488232
2019,"ARAPAHOE, Colorado",2,39.62031,-104.332644
2019,"ARLINGTON, Virginia",3,38.8816208,-77.0909809
2019,"BAKER, Florida",1,30.7971318,-86.681344
2019,"BALTIMORE, Maryland",2,39.2903848,-76.6121893
2019,"BELL, Texas",3,31.134411,-97.5247243
2019,"BERKELEY, West Virginia",13,39.4885604,-78.0651931
2019,"BERNALILLO, New Mexico",2,35.30004,-106.5511369
2019,"BEXAR, Texas",3,29.4200763,-98.5721016
2019,"BOSSIER, Louisiana",1,32.5159852,-93.7321228
2019,"BOWIE, Texas",1,33.5589953,-97.8486457
2019,"BRADLEY, Tennessee",4,35.1937778,-84.8567932
2019,"BRAXTON, West Virginia",2,38.7023371,-80.7214417
2019,"BROOKE, West Virginia",2,40.2697757,-80.5660657
2019,"BROWN, Wisconsin",4,44.4561674,-87.9334803
2019,"CARSON CITY, Nevada",1,39.1637984,-119.7674034
2019,"CATAWBA, North Carolina",4,35.7073558,-81.0756345
2019,"CHAMBERS, Texas",1,29.7524956,-94.6863782
2019,"CHEROKEE, Georgia",1,34.2514526,-84.4802606
2019,"CHESTERFIELD, Virginia",1,37.3673217,-77.6077865
2019,"CHITTENDEN, Vermont",4,43.7271064,-72.9428417
2019,"CLAY, Indiana",1,39.368622,-87.1422895
2019,"CLAYTON, Georgia",1,34.8781479,-83.4009933
2019,"CLEVELAND, North Carolina",1,35.7331953,-80.6770111
2019,"COBB, Georgia",1,33.8999297,-84.564147
2019,"COLLIER, Florida",3,26.069985,-81.4278984
2019,"CONCHO, Texas",1,31.3431641,-99.8124935
2019,"COOKE, Texas",1,33.6672185,-97.3516558
2019,"COWETA, Georgia",11,33.3716708,-84.7315563
2019,"CUMBERLAND, North Carolina",11,34.9542604,-78.7476208
2019,"DEKALB, Georgia",1,33.7956441,-84.2278796
2019,"DODDRIDGE, West Virginia",3,39.2367791,-80.6770787
2019,"DODGE, Wisconsin",2,44.1321852,-91.5520942
2019,"DOUGLAS, Colorado",2,39.2587106,-104.9388853
2019,"DOUGLAS, Nebraska",3,40.5939437,-96.3877734
2019,"DUPAGE, Illinois",1,41.8243831,-88.0900762
2019,"EAU CLAIRE, Wisconsin",1,44.811349,-91.4984941
2019,"EDWARDS, Texas",4,29.9282955,-100.439656
2019,"ELLIS, Texas",1,32.2619765,-96.8350999
2019,"FANNIN, Georgia",1,34.8580405,-84.2278796
2019,"FAYETTE, West Virginia",1,38.0615913,-81.0754657
2019,"FLAGLER, Florida",1,29.4086072,-81.2518833
2019,"FRANKLIN, Kentucky",28,36.7187855,-86.5785573
2019,"FULTON, Georgia",2,33.8033965,-84.3962535
2019,"GENESEE, Michigan",43,43.0777289,-83.6773928
2019,"GEORGETOWN, South Carolina",1,33.376834,-79.2944964
2019,"GILMER, West Virginia",1,38.9203312,-80.8543847
2019,"GRAHAM, North Carolina",1,36.0678765,-79.400393
2019,"GRAND FORKS, North Dakota",1,47.9252568,-97.0328547
2019,"GREEN LAKE, Wisconsin",2,43.8441481,-88.9601133
2019,"GREENBRIER, West Virginia",1,38.0198478,-80.543845
2019,"GREENVILLE, South Carolina",11,34.8526176,-82.3940104
2019,"HALL, Georgia",2,34.30778,-83.804868
2019,"HAMPSHIRE, West Virginia",1,39.3349019,-78.5660852
2019,"HARFORD, Maryland",2,39.5838964,-76.3637285
2019,"HARRIS, Texas",10,29.7751825,-95.3102505
2019,"HAYWOOD, North Carolina",4,35.624394,-82.9931607
2019,"HENNEPIN, Minnesota",7,45.0208911,-93.5094574
2019,"HENRICO, Virginia",22,37.5059332,-77.3324425
2019,"HERNANDO, Florida",1,28.8999815,-82.3745401
2019,"HILLSBOROUGH, Florida",9,27.9903597,-82.3017728
2019,"HOPKINS, Texas",1,33.2282942,-95.4777811
2019,"HORRY, South Carolina",1,33.9196567,-78.9288242
2019,"HOWARD, Maryland",9,39.2873463,-76.964306
2019,"HUBBARD, Minnesota",1,47.1860527,-94.9411423
2019,"HUNT, Texas",5,30.0710434,-99.3379764
2019,"HUNTINGTON, Indiana",2,40.8831011,-85.497476
2019,"ISANTI, Minnesota",1,45.4894008,-93.2476091
2019,"ITASCA, Minnesota",1,47.5507924,-93.5683651
2019,"JACKSON, Michigan",1,42.245869,-84.4013462
2019,"JACKSON, North Carolina",1,36.3895976,-77.4213614
2019,"JEFFERSON, Colorado",2,39.377255,-105.8005988
2019,"JEFFERSON, Louisiana",6,29.9660371,-90.1531298
2019,"JIM WELLS, Texas",4,27.7841718,-98.0465185
2019,"JOHNSTON, North Carolina",1,35.4403514,-78.3842227
2019,"KIMBLE, Texas",1,30.4338473,-99.8124935
2019,"KING, Washington",4,47.5480339,-121.9836029
2019,"KIOWA, Colorado",3,39.3472095,-104.4644112
